,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len,Exterior_color_imputed
66,29975,3,Lexus,Automatic,33338,Black,Black,23,V6,Front-Wheel Drive,Gasoline,8,4514,0
67,159900,3,Audi,Automatic,6891,Gray,Red,17,V10,All-Wheel Drive,Gasoline,13,1065,0
68,32995,3,BMW,Automatic,29277,Black,Black,25,I6,Rear-Wheel Drive,Gasoline,3,1124,0
69,43700,1,RAM,Automatic,33918,White,Black,17,V8,Four-Wheel Drive,Gasoline,7,3192,0
70,20199,1,Kia,Automatic,34669,White,Black,22,V6,Front-Wheel Drive,Gasoline,6,2324,0
71,36997,3,BMW,Automatic,24401,Black,Black,20,I6,All-Wheel Drive,Gasoline,9,3067,0
72,13980,7,Honda,Automatic,68436,Silver,Gray,26,I4,Front-Wheel Drive,Gasoline,1,1729,0
73,19099,3,Chrysler,Automatic,31539,Red,Black,22,V6,All-Wheel Drive,Gasoline,8,2834,0
74,18999,3,Chrysler,Automatic,32862,White,Black,22,V6,All-Wheel Drive,Gasoline,4,2836,0
75,13999,5,Honda,Automatic,65339,White,Black,25,I4,Front-Wheel Drive,Gasoline,3,125,0
76,17995,4,Nissan,Automatic,32572,Silver,Black,25,I4,Front-Wheel Drive,Gasoline,2,911,0
77,19099,3,Chrysler,Automatic,32266,White,Black,22,V6,All-Wheel Drive,Gasoline,8,2836,0
78,14900,2,Chevrolet,Automatic,11839,Silver,Black,28,I4,Front-Wheel Drive,Gasoline,6,3051,0
79,9395,6,Kia,Automatic,97766,Black,Gray,27,I4,Front-Wheel Drive,Gasoline,6,4726,1
80,31995,7,RAM,Automatic,49278,White,Black,25,I4,Front-Wheel Drive,Gasoline,1,401,0
81,16495,5,Ford,Automatic,69091,Black,Black,24,I4,Front-Wheel Drive,Gasoline,16,4044,1
82,9999,6,Kia,Automatic,51918,Red,Black,27,I4,Front-Wheel Drive,Gasoline,2,1512,0
83,14995,9,Mazda,Manual,45767,White,Black,25,I4,Rear-Wheel Drive,Gasoline,3,1049,0
84,29888,3,Audi,Automatic,18777,Black,Black,25,I4,All-Wheel Drive,Gasoline,2,2607,0
85,17980,4,Jeep,Automatic,17123,White,Gray,25,I4,Four-Wheel Drive,Gasoline,6,939,0
86,24199,2,Mazda,Automatic,44057,White,Black,22,I4,All-Wheel Drive,Gasoline,8,3614,0
87,11980,5,Ford,Automatic,64753,Black,Black,25,I4,All-Wheel Drive,Gasoline,11,1469,0
88,13999,5,Toyota,Automatic,49537,Gray,Black,25,I4,Front-Wheel Drive,Gasoline,3,179,0
89,40651,2,Tesla,Automatic,30936,Black,Black,25,I4,All-Wheel Drive,Electric,4,2675,0
90,22999,4,Ford,Automatic,44985,Black,Black,20,V6,Front-Wheel Drive,Gasoline,8,4804,0
91,12500,3,Hyundai,Automatic,98761,Gray,Black,29,I4,Front-Wheel Drive,Gasoline,14,4044,0
92,24648,2,Volkswagen,Automatic,35680,Blue,Black,20,V6,Front-Wheel Drive,Gasoline,4,2742,0
93,10985,4,Toyota,Automatic,132790,Red,Black,55,I4,Front-Wheel Drive,Hybrid,4,1578,0
94,9399,5,Toyota,Automatic,96153,Black,Black,25,I4,Front-Wheel Drive,Gasoline,7,3453,0
95,12999,4,Nissan,Automatic,93000,Gray,Black,29,I4,Front-Wheel Drive,Gasoline,2,4236,0
96,14299,2,Toyota,Automatic,34647,Red,Black,31,I4,Front-Wheel Drive,Gasoline,3,2424,0
97,25199,6,Chevrolet,Automatic,117613,White,Black,19,V8,Front-Wheel Drive,Flex Fuel Vehicle,17,4044,0
98,16999,2,Mitsubishi,Automatic,46586,Gray,Black,26,I4,All-Wheel Drive,Gasoline,10,3213,0
99,24199,1,Ford,Automatic,25859,Silver,Black,24,I4,All-Wheel Drive,Gasoline,4,2729,0
100,144900,2,Chevrolet,Automatic,6259,Black,Black,25,V8,Rear-Wheel Drive,Gasoline,18,538,1
101,11995,8,Honda,Automatic,102994,Silver,Black,26,I4,Front-Wheel Drive,Gasoline,8,3754,0
102,8999,4,Nissan,Automatic,82936,Black,Black,32,I4,Front-Wheel Drive,Gasoline,9,1347,0
